ID_PERSONA|ID_EMPRESA|MONTO
26|7|2244
24|6|1745
1|10|238
19|2|3338
95|8|2656
37|6|3811
40|2|297
27|3|2896
65|2|4097
21|8|2799
71|8|3148
71|4|2712
34|6|513
71|5|1548
81|3|1343
90|1|4224
87|8|1571
82|4|3411
61|4|871
48|6|783
72|1|1580
93|1|4250
26|5|2628
27|8|1436
15|5|391
90|2|3483
40|4|3342
3|5|722
51|9|3478
21|9|4261
39|9|3052
84|4|4071
32|7|1601
65|1|3123
17|6|3162
46|7|782
79|5|1603
50|1|1377
23|8|737
83|5|2233
77|6|1769
24|2|4048
96|4|2887
97|4|3799
60|8|4110
56|9|2108
38|4|1328
59|5|1945
98|4|2177
24|8|2014
61|9|3141
81|7|669
46|6|1928
19|9|286
73|7|1429
82|7|1129
33|2|2972
71|3|3575
1|1|3120
22|3|3177
90|10|233
58|10|2360
44|3|1408
36|6|1895
25|7|431
14|5|3385
9|6|1916
93|3|3323
52|3|938
15|5|2238
40|4|974
75|8|3301
80|4|3514
4|6|3216
97|1|4140
20|8|754
53|9|823
26|10|2702
41|5|4066
9|3|603
31|10|928
99|3|1682
100|8|2698
70|7|3842
88|6|1651
29|2|1554
47|5|542
31|2|3724
93|4|1393
20|4|436
58|9|694
6|5|484
24|10|1006
55|10|3429
65|3|4033
22|2|1398
40|9|2114
34|10|597
100|6|3132
86|4|1899
8|7|2538
93|3|1460
57|8|922
28|4|1928
9|3|4129
68|10|3928
56|5|2082
43|6|3707
32|4|4020
16|5|1887
38|6|549
14|6|4368
45|4|4267
39|6|372
88|1|4291
73|4|3878
40|10|527
15|4|3896
18|7|3316
76|5|375
63|5|707
74|5|3546
29|8|2442
6|2|1575
99|4|3261
29|2|661
66|5|4470
22|9|796
64|4|317
97|1|407
39|10|763
73|2|3681
39|10|511
80|7|4250
46|4|1797
31|4|278
64|1|2726
60|1|3558
90|9|938
85|4|1842
36|8|1345
33|3|3238
95|6|2653
42|3|3772
38|1|2160
4|6|1857
92|5|2860
58|2|2558
39|8|1738
86|2|3910
62|8|1239
92|2|1214
85|4|1991
66|3|3023
11|9|352
23|4|2400
28|5|592
59|8|887
88|3|791
80|5|2232
78|3|429
14|8|2880
32|5|1676
86|1|314
58|3|784
24|6|4014
37|4|2100
32|7|4493
17|5|2067
59|10|1304
14|1|1137
64|7|714
76|8|1607
6|3|2810
24|4|1618
61|5|2967
43|6|4064
70|5|856
54|9|4496
47|8|4414
98|5|1898
51|7|3433
4|2|4004
81|9|2901
84|1|769
88|5|793
7|7|2201
25|10|1772
35|3|3546
3|6|1754
83|6|3590
40|7|3666
60|10|3399
78|8|2375
