ID_PERSONA|ID_EMPRESA|MONTO
39|2|1841
84|8|980
49|10|1224
76|9|3082
63|5|2623
3|2|2260
65|4|3344
1|1|1062
14|9|4273
85|4|380
41|10|3120
58|9|318
85|6|4460
17|2|1625
39|1|465
30|7|709
98|2|3729
98|8|1820
73|2|3653
81|2|3075
14|10|1731
84|2|3410
88|6|2167
70|8|3252
10|6|3428
62|6|1059
41|10|739
97|8|3298
86|3|3377
68|8|549
78|2|4254
22|8|1762
23|10|4391
12|3|1443
15|7|4029
22|4|1684
50|4|3299
13|3|4203
64|8|2869
3|6|1241
91|10|2713
39|6|3891
45|4|831
32|7|2322
98|5|1962
63|2|3872
81|4|2368
57|4|2362
67|7|220
87|7|2244
68|4|2923
10|7|4329
2|1|1051
87|8|440
23|2|1206
51|2|1522
40|9|3315
73|3|2285
41|6|3153
15|2|1325
74|9|1831
26|8|4419
48|6|2186
99|7|1652
85|9|1788
37|9|3058
8|1|3662
56|5|1014
48|6|2793
77|1|372
61|6|3301
45|5|1910
32|5|3438
43|8|3308
65|7|3612
7|2|1395
77|8|781
4|9|3762
55|2|3520
91|5|3986
34|8|2675
83|4|2414
70|7|3851
81|5|956
74|5|3661
23|5|3033
68|7|1931
84|7|1321
93|9|831
52|6|4303
31|10|3469
12|10|1205
62|1|3531
14|10|1744
34|9|3749
97|8|1057
19|8|3220
74|9|207
66|3|1574
38|5|3287
16|8|3172
95|8|1684
57|10|2881
65|1|3127
15|7|3803
27|7|3729
34|7|2491
14|9|2043
98|1|2706
10|4|3833
96|6|604
29|2|1582
14|5|2957
17|9|4105
79|10|3058
51|2|883
29|7|2952
14|9|3018
13|4|1572
34|5|1235
24|4|1947
74|7|683
90|10|1056
1|1|823
43|2|4371
71|10|526
64|5|1678
85|6|990
43|10|3216
13|3|734
62|3|1302
93|6|2575
2|7|3855
58|4|588
16|5|2662
44|5|2449
46|10|1065
37|9|2522
56|4|2585
72|10|2218
25|5|2252
22|3|1486
73|3|4283
89|7|2687
80|2|2774
65|4|1677
29|10|3720
96|3|2636
58|7|2678
93|10|4363
38|3|2293
54|10|597
93|9|224
9|1|3052
34|7|2741
50|6|4033
15|5|326
16|2|2806
43|3|3859
69|9|1061
72|8|517
81|10|976
33|7|4023
9|7|4474
73|3|1143
20|10|1572
12|1|2064
42|8|4396
99|9|716
4|10|4031
97|8|3436
17|2|234
16|10|2732
93|6|3446
55|6|1424
100|1|3696
60|2|2846
79|7|3404
27|8|1134
34|4|2468
55|6|3492
58|9|887
11|7|345
19|5|2048
43|6|3571
74|7|1285
28|5|4438
70|10|1737
4|6|3555
44|9|643
46|5|4056
75|7|1377
69|10|4486
55|3|4242
60|9|596
20|7|1884
55|4|2634
66|8|2836
25|9|1995
28|2|3073
27|10|3974
66|5|2762
61|10|1075
37|3|3171
79|7|4295
19|3|1367
92|1|891
59|9|2031
25|5|1003
77|1|1439
95|8|4187
90|6|2839
88|6|2916
1|8|254
56|3|2111
21|9|1774
9|3|2910
66|5|4186
45|4|3569
29|6|3395
42|3|1701
8|9|3248
98|8|4333
8|3|768
16|3|2963
57|1|915
83|1|3905
36|10|1617
32|2|2545
43|3|1776
11|5|4483
35|2|859
42|4|4452
4|7|1848
16|8|2067
91|9|3990
33|10|410
79|7|4177
81|1|4143
40|8|4306
29|9|755
83|3|2220
86|5|1101
13|4|2230
42|4|4313
35|7|1049
16|9|404
56|10|1373
37|1|1743
50|9|1140
54|9|3424
97|4|2938
93|3|4285
74|8|3637
56|5|4198
93|5|4115
5|4|562
13|6|3054
35|7|402
19|9|3717
36|9|811
12|1|2866
18|1|3557
11|1|3153
94|6|3065
47|5|3093
5|3|1232
71|5|1809
32|8|942
93|4|4150
13|8|3357
80|6|2784
45|8|3712
23|1|3682
45|7|3923
67|7|2264
16|1|2229
1|7|508
57|3|3163
37|5|294
73|2|311
13|10|2352
45|2|1550
5|9|1159
30|4|1557
100|9|4172
